sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
50,16,0.001,1,3.126414696588593,2.87719733424303,0.2526733569137123,0.4824997943571605
50,16,0.001,2,2.7790494553205476,2.7325028163630787,0.27810109401990624,0.5179217734638479
50,16,0.001,3,2.6179270117915667,2.6954983007617113,0.29577609607633465,0.5383215431438677
50,16,0.001,4,2.527232120248012,2.5693194063698375,0.3110862054783252,0.5551945381261825
50,16,0.001,5,2.4275808909623295,2.531625590673307,0.3260158756272107,0.5686847083984535
50,16,0.001,6,2.330228135029688,2.4928860082858946,0.33785062104137537,0.581763592991692
50,16,0.001,7,2.2264333976178,2.539921809987324,0.34445175618984947,0.5878917496092786
50,16,0.001,8,2.1434784525201405,2.5329333508886944,0.35303734473965614,0.5960146417701736
50,16,0.001,9,2.0547697437332877,2.5322709490613238,0.3524718269309863,0.5965390310109402
50,16,0.001,10,1.9770824082705114,2.5383110354586345,0.36638356502426583,0.6047647445915934
50,16,0.001,11,1.8804288276398788,2.5726968951341584,0.3701776754133421,0.6097618655918401
50,16,0.001,12,1.7924595650874737,2.535707281857002,0.37685078555564694,0.6129698938882948
50,16,0.001,13,1.6974246443596346,2.6273173907908,0.3760179320556058,0.6145533437525705
50,16,0.001,14,1.5858199677479095,2.6538927962140337,0.3803878423953278,0.6157563543637411
50,16,0.001,15,1.4986139181202363,2.678074832078887,0.38687587398206796,0.6224294645060459
50,16,0.001,16,1.4148887084851955,2.7689270670821027,0.38367812782758903,0.6173500863699926
50,16,0.001,17,1.303948532799933,2.7748242052589975,0.38435674919799295,0.6182960434317677
50,16,0.001,18,1.2095010622177302,2.9824450109063125,0.3835855885498067,0.6151085794192647
50,16,0.001,19,1.09596004473915,3.02636133810369,0.3857448383647281,0.616712593567492
50,16,0.001,20,0.9945306194891239,3.159538156811784,0.38493254914863867,0.613576540264868
