sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
100,16,0.0001,1,3.1942540904175782,2.839746915631824,0.2738788048031276,0.5027981010890813
100,16,0.0001,2,2.7367055096362143,2.6420244166144617,0.30910918737782744,0.5459703993297962
100,16,0.0001,3,2.539831909076813,2.5546904344249657,0.329829656520525,0.5694163641440938
100,16,0.0001,4,2.378764923042876,2.481224834367081,0.3489081262217258,0.5867746439542028
100,16,0.0001,5,2.273048794651866,2.449251769869416,0.3616755096341804,0.600770734431723
100,16,0.0001,6,2.182469201765672,2.441742996374766,0.3702317788327283,0.6074951130969003
100,16,0.0001,7,2.078690873811961,2.4332013262642755,0.3781290142418319,0.6144317229824071
100,16,0.0001,8,1.9690366455139294,2.4331196198860803,0.3848645629712371,0.6198827143256074
100,16,0.0001,9,1.8801975683061374,2.437696130187423,0.388628874616029,0.6255347668249093
100,16,0.0001,10,1.8127778407957393,2.476499013878681,0.39361072326165875,0.6283161128176487
100,16,0.0001,11,1.742996422742268,2.510746646810461,0.3976319463836917,0.6297012007819045
100,16,0.0001,12,1.6549976189322457,2.5532216462824078,0.39609047752024573,0.6259257190728846
100,16,0.0001,13,1.5671086763506945,2.5268745919068656,0.4048254677464395,0.6337447640323932
100,16,0.0001,14,1.5027669911099644,2.599850046965811,0.4046579167830215,0.6327729684445685
100,16,0.0001,15,1.4102319320853876,2.6192207198452064,0.4066350181513544,0.6338676347388997
100,16,0.0001,16,1.385506612479513,2.669765532016754,0.4072158614912036,0.6355878246299916
100,16,0.0001,17,1.3030952252225296,2.669977421561877,0.4059983244903658,0.6351186819324212
100,16,0.0001,18,1.2805514446739379,2.728377220807252,0.41100251326445125,0.6357665456576376
100,16,0.0001,19,1.2005185694610239,2.779224011633131,0.4084110583635856,0.6338564646746718
100,16,0.0001,20,1.1823408724875908,2.845817537771331,0.406668528344038,0.6344708182072047
