sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
50,64,0.001,1,3.535711451939174,3.2772921307446206,0.2078226536152011,0.437669655342601
50,64,0.001,2,3.0303888820466542,3.080217851351385,0.23792876532039153,0.47377025581969234
50,64,0.001,3,2.8736512502034506,3.0255663558228374,0.25246771407419594,0.49105453648103975
50,64,0.001,4,2.768548520406087,3.1513228841023904,0.25994283129061446,0.49113679361684626
50,64,0.001,5,2.7237446989331926,3.128825462027772,0.273690055112281,0.5126264703463025
50,64,0.001,6,2.5393018716857547,2.8931688347907913,0.29401784979847,0.534609689890598
50,64,0.001,7,2.5101244881039575,2.902535271971193,0.3035905239779551,0.5445833676071399
50,64,0.001,8,2.384780745279221,2.937205327700262,0.31114789833018014,0.5519762276877519
50,64,0.001,9,2.3443901175544375,2.897207403836185,0.3209056510652299,0.5638006909599408
50,64,0.001,10,2.2359859375726607,2.9711627241683334,0.3208542403553508,0.5623920375092539
50,64,0.001,11,2.1836228252710064,3.0051230829055995,0.335629678374599,0.5775993254914864
50,64,0.001,12,2.0473523318767546,2.975220066227325,0.3428477420416221,0.5853006498313729
50,64,0.001,13,1.9324715187507016,2.9927329510858613,0.3514333305914288,0.5916447314304516
50,64,0.001,14,1.9411287923653922,2.907186611057961,0.3588673192399441,0.5987394093937649
50,64,0.001,15,1.834419053779649,3.012898814188291,0.3596796084560336,0.5981636094431192
50,64,0.001,16,1.7750599323539062,2.9141638425931538,0.3683680184255984,0.6063276301719174
50,64,0.001,17,1.682074579288296,3.109046408574875,0.3717302788516904,0.6082915192892984
50,64,0.001,18,1.5136812521987373,3.096777264386007,0.371863946697376,0.6080241835979271
50,64,0.001,19,1.4201052039906028,3.164916962793429,0.3717302788516904,0.6072633050917167
50,64,0.001,20,1.2733328208504688,3.2381139863027286,0.3825162457843218,0.6149440651476515
