sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
50,64,0.0001,1,4.228961269060771,3.2700488194823265,0.15260663507109004,0.3004739336492891
50,64,0.0001,2,3.4267882108688354,3.2228114306926727,0.14881516587677726,0.3241706161137441
50,64,0.0001,3,3.3047447204589844,3.222163289785385,0.16682464454976303,0.35071090047393366
50,64,0.0001,4,3.11476641231113,3.2214615792036057,0.16303317535545023,0.37345971563981045
50,64,0.0001,5,2.998442451159159,3.2277143597602844,0.13364928909952606,0.34786729857819904
