sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
100,64,0.0001,1,3.4770108021057404,3.0954368391207288,0.23553197430885228,0.46366936609885506
100,64,0.0001,2,3.004343720169755,2.927410138504846,0.2651438145769338,0.49578330075397936
100,64,0.0001,3,2.7851660316054887,2.82841785464968,0.2852499301870986,0.517687796704831
100,64,0.0001,4,2.664386657981185,2.7790778130292892,0.29606255235967605,0.5347333147165596
100,64,0.0001,5,2.530479390274834,2.7309190471257483,0.3127394582518849,0.5505724657916783
100,64,0.0001,6,2.5011298800105446,2.701118879020214,0.32588662384808714,0.5624462440659034
100,64,0.0001,7,2.3870638088063076,2.6842447242566516,0.3320413292376431,0.5697514660709299
100,64,0.0001,8,2.323999666147404,2.6474110058375766,0.34166992460206647,0.577604021223122
100,64,0.0001,9,2.246269685191077,2.6309663483074734,0.35240435632504885,0.588718235129852
100,64,0.0001,10,2.1516305653898566,2.640436301273959,0.35511868193242113,0.5911197989388439
100,64,0.0001,11,2.1369638076505146,2.625816896557808,0.3570511030438425,0.5921027645908964
100,64,0.0001,12,2.0691267537909583,2.634867874639375,0.3611058363585591,0.5991175649259983
100,64,0.0001,13,2.0352708869823464,2.6167700918657437,0.3711365540351857,0.6064674671879363
100,64,0.0001,14,1.974860430569262,2.6408899192299162,0.3724434515498464,0.6072940519407987
100,64,0.0001,15,1.8930289955927178,2.660588989300387,0.37694498743367777,0.611538676347389
100,64,0.0001,16,1.8464395677112881,2.66546784554209,0.38236246858419437,0.6144764032393186
100,64,0.0001,17,1.7929199445276387,2.649219749229295,0.38457414130131246,0.6181401843060598
100,64,0.0001,18,1.7972523756660856,2.668321108179433,0.38250767941915664,0.6175034906450713
100,64,0.0001,19,1.733306911354465,2.688726434750216,0.3872996369729126,0.6184417760402122
100,64,0.0001,20,1.6527722630280632,2.6950423195958138,0.3878804803127618,0.6194247416922647
