sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
200,512,0.0005,1,1.753552415812435,1.7219204471564225,0.5244766010683782,0.730293639265413
200,512,0.0005,2,1.3580348035713543,1.6062370678957771,0.5518091071981297,0.7511029771226172
200,512,0.0005,3,1.2601804151964602,1.5393383429675807,0.5686462473065016,0.7623924153678364
200,512,0.0005,4,1.2135483749423281,1.5098037647304332,0.5764857388409894,0.7684696067505863
200,512,0.0005,5,1.1774906473237712,1.4813488535331554,0.5850580455991923,0.7746587245039345
200,512,0.0005,6,1.1568479777992577,1.4649740627094774,0.5885790806804388,0.777713363695342
200,512,0.0005,7,1.137757609446923,1.4515674860866,0.5934816933941294,0.7802373249597427
200,512,0.0005,8,1.1174569542254034,1.443904168867904,0.595793037769208,0.7817484389998579
200,512,0.0005,9,1.1096998044296327,1.4399458125679105,0.5965491889929706,0.7830538505210356
200,512,0.0005,10,1.098893846672327,1.4305078929564992,0.6004302034823579,0.784893181080338
