sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
200,512,0.0005,1,2.8723053809492187,2.256961155992795,0.3701756764921395,0.6130064520407992
200,512,0.0005,2,2.1083169213217032,1.875292840458098,0.4703207486057223,0.702479059145903
200,512,0.0005,3,1.858110454200375,1.716585993881464,0.5118325649303894,0.7360942462223785
200,512,0.0005,4,1.740128710700573,1.6265083816316392,0.5355314245686337,0.7547535136888384
200,512,0.0005,5,1.637158050306149,1.5661899308965663,0.5515549995252846,0.7670038963003545
200,512,0.0005,6,1.5931212247681064,1.523952879373588,0.5636375282273945,0.7760511993036902
200,512,0.0005,7,1.5312719340281096,1.4819503529763325,0.5738571965262644,0.7833411468306047
200,512,0.0005,8,1.4762872166397834,1.4522752621071795,0.5809707725232008,0.7891380122553796
200,512,0.0005,9,1.4410466674478455,1.4357696999547114,0.5870101062135928,0.7930770142809833
200,512,0.0005,10,1.4234247345977307,1.4153746241213554,0.5929099780631522,0.7973667151376062
