sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
200,64,0.0001,1,2.312250281663762,1.8783491191477613,0.4715483080825632,0.703495154496009
200,64,0.0001,2,1.8486579642070617,1.6906289428791061,0.5198897797184324,0.7419317690893505
200,64,0.0001,3,1.7057283247346622,1.6078440642552443,0.5418563824688744,0.7591120369196832
200,64,0.0001,4,1.6270999490700135,1.546424016500924,0.5553680543346966,0.7705636938580914
200,64,0.0001,5,1.569324884274213,1.5001939169779186,0.5662257491985487,0.7787266407095019
200,64,0.0001,6,1.5282454727384995,1.4731198116940645,0.5763651247274929,0.7852105941937538
200,64,0.0001,7,1.5005288174032498,1.4491692819080926,0.5817353141457463,0.7893425487173826
200,64,0.0001,8,1.4516087872174381,1.4295059271840174,0.588273326128562,0.7935158420928543
200,64,0.0001,9,1.433890633198015,1.4160253468983333,0.5921815511518321,0.796041259808324
200,64,0.0001,10,1.4053011732152296,1.397641722195308,0.5956400458088991,0.7992647817058772
