seq_len,batch_size,lr,epochs,val_avg_loss,val_acc,val_topk_acc
60,4,1e-06,10,2.832960784435272,0.38974358974358975,0.49615384615384617
60,4,1e-06,20,2.7470075488090515,0.36666666666666664,0.5
60,4,0.0001,10,1.5932807922363281,0.6538461538461539,0.7410256410256411
60,4,0.0001,20,3.668721377849579,0.532051282051282,0.6551282051282051
60,16,1e-06,10,2.3479552268981934,0.5474358974358975,0.5961538461538461
60,16,1e-06,20,2.656705141067505,0.46025641025641023,0.5192307692307693
60,16,0.0001,10,1.7256498336791992,0.5243589743589744,0.6807692307692308
60,16,0.0001,20,2.685558795928955,0.491025641025641,0.6166666666666667
60,64,1e-06,10,2.72851824760437,0.4666666666666667,0.5230769230769231
60,64,1e-06,20,3.3226990699768066,0.43205128205128207,0.491025641025641
60,64,0.0001,10,2.0307846069335938,0.48205128205128206,0.5961538461538461
60,64,0.0001,20,1.987931728363037,0.4897435897435897,0.6243589743589744
80,4,1e-06,10,1.6586307684580486,0.6677083333333333,0.7041666666666667
80,4,1e-06,20,1.6997478405634563,0.6208333333333333,0.6666666666666666
80,4,0.0001,10,1.4875566562016804,0.678125,0.753125
80,4,0.0001,20,2.264467636744181,0.7,0.76875
80,16,1e-06,10,2.21687388420105,0.584375,0.634375
80,16,1e-06,20,2.1621968746185303,0.5239583333333333,0.6041666666666666
80,16,0.0001,10,1.2540439367294312,0.690625,0.76875
80,16,0.0001,20,1.785476565361023,0.6520833333333333,0.728125
80,64,1e-06,10,2.38002610206604,0.5864583333333333,0.6302083333333334
80,64,1e-06,20,1.9999022483825684,0.6145833333333334,0.6635416666666667
80,64,0.0001,10,1.3313651084899902,0.65625,0.734375
80,64,0.0001,20,1.2867521047592163,0.6625,0.7552083333333334
